LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2822.2715620791914,12.224431339502335,3314.0913248062134,-47.64377570986748
2822.4255785512923,12.224887522459031,3314.2089128494263,-47.6464896529913
2822.5740100467206,12.225324375629425,3314.3215656280518,-47.64906414449215
2822.715997338295,12.22574447631836,3314.4299268722534,-47.651574273705485
2822.8530440735817,12.226149113178254,3314.5344257354736,-47.653977132439614
2822.9842910254,12.226538286209108,3314.634847640991,-47.65628344774247
2823.111027034521,12.22691199541092,3314.731192588806,-47.658514673709874
2823.2326076805593,12.227272818088531,3314.824318885803,-47.660638629198075
2823.3494625771045,12.227618176937103,3314.9133682250977,-47.66270894944668
2823.4618065309523,12.227950649261475,3314.998984336853,-47.664682726264004
2823.569854348898,12.228268946409226,3315.0815963745117,-47.666602867841725
2823.673820837736,12.228576934337616,3315.1612043380737,-47.668437193036084
2823.773491190672,12.228873324394227,3315.2373790740967,-47.67017497479916
2823.869509828091,12.229156827926635,3315.3103351593018,-47.67185912132263
2823.9618767499924,12.229430022239686,3315.381145477295,-47.673500359654426
2824.050806763172,12.229692907333375,3315.44873714447,-47.675055781602865
2824.1358702540397,12.229944194555284,3315.513753890991,-47.67653611421585
2824.217926449776,12.23018774986267,3315.576195716858,-47.677994992733005
2824.2967605435847,12.230420995950698,3315.635633468628,-47.67936805486679
2824.3725873422622,12.230643932819367,3315.694212913513,-47.68070893585682
2824.445192039013,12.230860426425934,3315.749144554138,-47.681996181607246
2824.515004247427,12.23106661081314,3315.802788734436,-47.68324051916599
2824.58266838789,12.231267640590668,3315.854287147522,-47.68443122148514
2824.647325233221,12.231458361148835,3315.903639793396,-47.68555756151677
2824.709404397011,12.231642638444901,3315.9510612487793,-47.686651720404626
2824.7689058792594,12.231819183826447,3315.996766090393,-47.68771369814873
2824.8264741003513,12.231990574598314,3316.0407543182373,-47.68874349474907
2824.881894253492,12.232154233455658,3316.082811355591,-47.689708929061894
2824.9349515318872,12.232311449050904,3316.123151779175,-47.69063145518303
2824.986290355921,12.23246351003647,3316.1622047424316,-47.69152180016041
2825.0348366916182,12.232607839107514,3316.19975566864,-47.69236923694611
2825.0820941865445,12.2327483022213,3316.2358045578003,-47.693227400779726
2825.127418420315,12.232881033420563,3316.270136833191,-47.69398902118206
2825.1710241997243,12.233009898662567,3316.3031816482544,-47.694772095680236
2825.2126967179775,12.233134897947313,3316.335368156433,-47.695512261986735
2825.2526507818698,12.233254742622377,3316.3662672042847,-47.69623097419739
2825.2913160049916,12.23337072134018,3316.3952350616455,-47.696906778216366
2825.3286923873425,12.233478968143464,3316.423773765564,-47.697550401091576
2825.364779928923,12.233584637641908,3316.450810432434,-47.69819402396679
2825.398934209347,12.233687729835511,3316.477417945862,-47.69879473865032
2825.4322292625907,12.233784378767014,3316.502523422241,-47.699341818094254
2825.463591054678,12.233878450393677,3316.526770591736,-47.69994253277779
2825.49387881279,12.23396865606308,3316.5501594543457,-47.70046815812588
2825.5233073437216,12.234056284427643,3316.5724754333496,-47.70099378347397
2825.5518766474725,12.234138758182526,3316.5937185287476,-47.70146577358246
2825.5787274968625,12.23422123193741,3316.6147470474243,-47.70194849073887
2825.604933925867,12.234298551082611,3316.6340589523315,-47.70242048084736
2825.6300663208963,12.234370715618134,3316.65358543396,-47.70289247095585
2825.6539098751546,12.234442880153656,3316.6718244552612,-47.70330009877682
2825.6768942022322,12.234509890079499,3316.68963432312,-47.703718453645706
2825.6990193021297,12.23457690000534,3316.706371307373,-47.704126081466676
2825.7198555612563,12.234640043973924,3316.722249984741,-47.70448007404804
2825.740477013588,12.234700610637665,3316.737699508667,-47.70485552072525
2825.7600244319437,12.234759888648988,3316.753149032593,-47.705188059210776
2825.7793570435047,12.234814012050629,3316.767954826355,-47.70554205179215
2825.797400814295,12.234870712757111,3316.78147315979,-47.70583168208599
2825.8145853579044,12.234922258853913,3316.7954206466675,-47.70614276647568
2825.831555094719,12.234971227645875,3316.8078660964966,-47.706453850865365
